n,time[ms]
1,4870.4
101,4645.6
201,4710.5
301,5515.1
401,4610.8
501,4911.6
601,4778.5
701,4598.3
801,4962.6
901,3259.7
1001,3589
1101,3240.9
1201,3855.1
1301,3532.8
1401,4275.8
1501,3395.6
1601,4018.6
1701,3434.3
1801,3289
1901,3652.4
2001,3345.5
2101,3979.1
2201,3894.9
2301,3848.5
2401,3315.5
2501,3616.8
2601,3705.5
2701,3796
2801,4062.5
2901,4761.3
3001,4298.3
3101,3594.6
3201,4079.9
3301,3723.9
3401,4839.3
3501,3742.7
3601,3358.6
3701,3483.1
3801,4254.4
3901,6008.1
4001,4157.8
4101,3867.7
4201,4227.4
4301,3475.3
4401,3370.6
4501,3553.8
4601,3552.4
4701,4079.8
4801,4058.6
4901,3723.8
