n,time[ms]
1,28942.3
101,27856.7
201,28256.9
301,28719
401,27773.7
501,28506.9
601,28259.7
701,28953
801,27697.5
901,27994.2
1001,30162.8
1101,28182
1201,28514.5
1301,27046
1401,29561.6
1501,27389.9
1601,26779.7
1701,31785.6
1801,29519.6
1901,31191.5
2001,34622.7
2101,36150.6
2201,28297.9
2301,27333
2401,30613.7
2501,31242.4
2601,29053
2701,29732
2801,26929.1
2901,26534.3
3001,29654.4
3101,29985.7
3201,29441.5
3301,30216.6
3401,34242.6
3501,29803.9
3601,27167.6
3701,28539.2
3801,31068.4
3901,31688
4001,31433.2
4101,33912.3
4201,29129.2
4301,29303.5
4401,31960.9
4501,28045.3
4601,28234.4
4701,29735.9
4801,27624.3
4901,27653.1
