n,time[ms]
1,27581.7
101,26593.2
201,27488.9
301,27576.3
401,26848.9
501,27642
601,27701.8
701,27495.3
801,27593.8
901,27465.4
1001,26701.9
1101,28567
1201,27613.9
1301,26825.1
1401,28430.5
1501,29762.8
1601,27153.6
1701,28341.3
1801,27313.6
1901,27781.3
2001,27059
2101,27327.6
2201,26982.2
2301,27306.8
2401,26879.1
2501,29300
2601,27713.6
2701,26700.6
2801,26996
2901,27451
3001,28173.5
3101,26963.4
3201,27123.4
3301,26563.8
3401,28733.1
3501,26756
3601,27158.1
3701,28292.9
3801,28308.5
3901,27284.3
4001,28159.9
4101,27606.3
4201,27403.1
4301,27406.4
4401,27166.7
4501,27565.6
4601,27113.9
4701,27000.4
4801,28140.3
4901,26996.3
