n,time[ms]
1,186.6
101,192.2
201,188.9
301,235.2
401,269.4
501,190.3
601,192.3
701,241.6
801,250.8
901,235.6
1001,227.3
1101,279.2
1201,184.8
1301,189.9
1401,181.7
1501,288.7
1601,211.8
1701,212.8
1801,150.6
1901,198.5
2001,197.3
2101,181.3
2201,409.3
2301,203.2
2401,182.2
2501,171
2601,167.6
2701,166.9
2801,167.7
2901,178.7
3001,232.7
3101,203.4
3201,160.7
3301,176.7
3401,165.1
3501,179.3
3601,160
3701,157
3801,176.7
3901,153.7
4001,148.9
4101,152.5
4201,145.6
4301,149.5
4401,162.1
4501,152.4
4601,149
4701,162.7
4801,173.3
4901,149
