n,time[ms]
1,997.6
101,1104.2
201,723.4
301,534.6
401,532.1
501,591.3
601,526.5
701,515.7
801,589.1
901,569.3
1001,530
1101,678.3
1201,513.4
1301,536.6
1401,518.5
1501,523.5
1601,524.7
1701,529.7
1801,558.5
1901,544.9
2001,514.9
2101,520
2201,513.6
2301,539.3
2401,514.7
2501,529.3
2601,574.6
2701,518
2801,525.5
2901,527.6
3001,528.2
3101,598.4
3201,617.2
3301,518.4
3401,511.3
3501,516.3
3601,525
3701,523.9
3801,547.4
3901,606.3
4001,586.4
4101,611.6
4201,716.2
4301,545.5
4401,705.8
4501,855.2
4601,661.1
4701,654
4801,696.2
4901,533.9
