n,time[ms]
1,946.7
101,739.9
201,581.5
301,421.3
401,444.4
501,412
601,453.2
701,424.6
801,443.8
901,414.9
1001,422.8
1101,440.6
1201,425.3
1301,424.8
1401,417.3
1501,424.8
1601,418.9
1701,417.6
1801,472.4
1901,415.5
2001,419.2
2101,414.2
2201,426.1
2301,412.3
2401,504.4
2501,413.9
2601,425.2
2701,426.4
2801,425.4
2901,561.8
3001,506.7
3101,494.4
3201,687.2
3301,695.4
3401,539.6
3501,535.9
3601,561.9
3701,438.7
3801,445.7
3901,470.9
4001,542.3
4101,542.7
4201,561.1
4301,542.4
4401,558.4
4501,501.3
4601,467.6
4701,421.3
4801,422.4
4901,465.6
